"";"Blood rage";"Dark Souls";"Days gone";"Hellblade";"Henri de Toulouse-Lautrec";"Paul Cézanne";"Paul Gauguin";"Plague tale";"Runewars";"Sekiro";"Sims 4 Psy i Koty";"Sims 4 Witaj w pracy";"Sims 4 Wyspiarskie ¯ycie";"Sims 4";"Skyrim";"Small world";"Talisman";"Tomb Rider";"Vincent van Gogh";"WiedŸmin 3"
"akceptowaæ";0;0;0;0;0;0,0208926295275935;0,0328903771771026;0;0;0;0;0;0;0;0;0;0;0;0;0
"akcja";0,0117504719545543;0,00782205973306132;0,00810998831219241;0,00730347013749924;0;0;0;0;0,0187065296446325;0;0;0;0;0;0,0145266823613996;0;0,0152824057212412;0;0;0,00742656233082788
"aktywnoœæ";0;0;0;0;0;0;0;0;0;0;0;0,0166931060044591;0,0247905081708012;0;0;0;0;0;0;0
"aktywny";0;0;0;0;0,0228080466180517;0;0;0;0;0;0;0;0,0204251163743747;0;0;0,0253422740200575;0;0;0;0
"alchemik";0;0;0;0;0;0;0;0,0186625173870077;0;0;0;0;0;0;0;0,0153792967355896;0;0;0;0
"analogiczny";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0192018965022391;0;0;0
"animacja";0;0,0137392194963749;0;0;0;0;0;0;0;0;0,0144219136328408;0;0,017327821603637;0,0140722914841658;0;0;0;0;0;0
"arcydzie³o";0;0;0;0;0;0,0208926295275935;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0186625173870077
"artysta";0;0;0;0;0,0684241398541552;0,0172136200890956;0;0;0;0;0;0;0;0;0;0;0;0;0,0912321864722069;0
"artystyczny";0;0;0;0;0,0276827341240614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0373250347740153
"aspekt";0;0,0102779029240604;0;0,00959649499539341;0;0;0;0;0;0,011206229639782;0;0,0174569406448865;0;0;0;0;0,0100402635500937;0;0;0,00975823367509105
"atak";0;0,0137392194963749;0;0,0128283320159523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,038698801581456;0,0130445398589178
"atrakcja";0;0;0,0203799269624992;0;0;0;0;0;0;0;0,0206330937570644;0;0;0;0;0;0;0;0;0
"autor";0;0;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0276827341240614;0
"bandyta";0;0;0,0407598539249983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0186625173870077
"bank";0;0;0;0;0;0,0208926295275935;0;0;0;0;0;0;0;0;0;0,0153792967355896;0;0;0;0
"bardziej";0;0,00896197143686247;0;0,0083678075846948;0;0;0;0,00850883804960538;0;0;0,00940728678776247;0;0,0113027848718639;0,00917923135048338;0,00832183061994373;0;0;0;0;0
"basen";0;0;0;0;0;0;0;0;0;0;0;0;0,0247905081708012;0,0201328975447719;0;0;0;0;0;0
"bezpieczny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0253582297319646;0;0,0186625173870077
"bezpoœredni";0;0;0;0;0;0;0;0;0;0;0;0,0166931060044591;0;0,0201328975447719;0;0;0;0;0;0
"bêdziemy";0,0177777777777778;0;0;0;0;0;0;0,0112359550561798;0;0;0,0124223602484472;0;0,0298507462686567;0;0;0;0,0115606936416185;0;0;0
"bitewny";0;0;0;0;0;0;0;0;0,0156694721456951;0;0;0;0;0;0;0,0153792967355896;0;0;0;0
"bitwa";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0186625173870077
"bliski";0;0;0;0;0,0276827341240614;0;0;0;0;0;0,0206330937570644;0;0;0;0;0;0;0;0;0
"b³¹d";0;0;0,0167911999642099;0;0;0;0;0,0153762112031809;0;0;0;0,013753595950584;0;0;0;0;0;0;0;0
"bohater";0;0,0268859143105874;0;0;0;0,00952561743918087;0;0,00850883804960538;0,00714421307938565;0,0195428796494162;0;0;0;0;0,00832183061994373;0;0,00875475822444947;0;0;0
"bohaterka";0;0;0;0,0756067843692322;0;0;0;0,0153762112031809;0;0;0;0;0;0;0;0;0;0,0417857342620795;0;0
"bojowy";0;0;0;0;0;0;0;0;0,0129102150668217;0;0;0;0;0;0,0150382724954187;0;0;0,0208928671310397;0;0
"bonus";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0192018965022391;0;0;0
"braæ";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0307585934711793;0;0;0;0
"brak";0;0;0;0;0;0;0;0;0;0;0;0;0;0,033175340535348;0;0;0;0,0208928671310397;0;0,0153762112031809
"brat";0;0;0,0203799269624992;0;0,0276827341240614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"broniæ";0;0,0118343195266272;0;0,0110497237569061;0;0;0;0;0;0;0;0;0;0;0;0;0,0115606936416185;0;0,0166666666666667;0,0112359550561798
"broñ";0;0,016195062687374;0;0;0;0;0;0;0;0;0;0;0;0;0,0150382724954187;0;0;0,0208928671310397;0;0
"budowa";0;0;0;0;0,0228080466180517;0;0;0;0,0129102150668217;0;0;0;0,0204251163743747;0;0;0;0;0;0;0
"budowaæ";0;0;0,0167911999642099;0;0;0;0;0;0;0;0;0;0,0204251163743747;0,016587670267674;0;0;0;0;0;0
"budynek";0;0;0;0;0;0,0208926295275935;0;0;0;0;0;0;0,0247905081708012;0;0;0;0;0;0;0
"bywaæ";0;0;0,0167911999642099;0,0151213568738464;0;0;0;0;0;0;0;0;0,0204251163743747;0;0;0;0;0;0;0
"ca³kiem";0;0;0,0203799269624992;0;0;0;0;0;0;0;0;0;0,0495810163416024;0;0;0;0;0;0;0
"ca³kowity";0;0;0;0;0;0,010924311912995;0,0171976791501605;0,00975823367509105;0;0;0;0;0;0,0105270642070679;0,00954376700091322;0;0;0;0,0144747132847184;0
"ca³y";0;0;0;0;0;0,0125786163522013;0,0198019801980198;0;0;0;0,0124223602484472;0;0;0;0;0,00925925925925926;0;0;0;0,0224719101123595
"cech";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0153792967355896;0;0;0;0
"cecha";0;0;0;0;0;0;0;0;0;0;0,016999786299169;0;0;0,033175340535348;0;0,0126711370100287;0;0;0;0
"cel";0;0,0118343195266272;0;0;0;0;0;0;0,00943396226415094;0;0;0,0100502512562814;0;0;0;0;0,0115606936416185;0,0152671755725191;0;0
"chaos";0;0,016195062687374;0,0167911999642099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0228080466180517;0
"chcieæ";0;0;0;0;0;0;0;0,0153762112031809;0;0;0;0;0;0;0;0;0,0158206103709029;0;0;0,0153762112031809
"chêæ";0;0;0;0;0,0228080466180517;0;0;0,0153762112031809;0;0,0176578425430078;0;0;0;0;0;0;0;0;0;0
"chocia¿";0;0;0;0;0;0,0208926295275935;0;0;0;0;0;0;0,0247905081708012;0;0;0;0;0;0;0
"chodziæ";0;0;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0,0201328975447719;0;0;0;0;0;0
"choroba";0;0;0;0,0367063877888106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0553654682481227;0
"chwilê";0;0;0,0167911999642099;0;0;0;0;0,0153762112031809;0;0;0;0;0;0;0;0;0;0;0;0,0461286336095428
"chyba";0;0;0;0;0;0;0;0,0130445398589178;0;0;0;0;0,017327821603637;0,0140722914841658;0,0127578466752053;0;0;0;0;0
"cia³o";0;0;0;0;0,0276827341240614;0;0;0;0;0;0;0;0;0,0402657950895438;0;0;0;0;0;0
"ci¹g";0;0;0;0;0;0;0;0;0,0129102150668217;0,0176578425430078;0;0;0;0;0;0;0;0;0,0456160932361034;0
"ciekawe";0,0121642915296276;0;0;0;0;0;0;0;0,0129102150668217;0;0;0;0;0;0,0150382724954187;0;0;0;0;0
"ciekawy";0,00673143632368781;0;0;0,0083678075846948;0;0;0;0;0,0142884261587713;0;0,00940728678776247;0,0076109204664812;0;0;0,00832183061994373;0;0;0;0;0,00850883804960538
"cykl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0365047043394216;0;0;0,0253582297319646;0;0
"czas";0;0,00782205973306132;0;0,00730347013749924;0;0,0166280263507844;0;0,00742656233082788;0;0;0,00821073350861716;0;0;0;0,00726334118069979;0;0;0;0,0220321349147894;0,00742656233082788
"czasem";0;0;0;0;0;0;0;0;0;0;0;0,0275071919011679;0;0;0,0150382724954187;0;0;0,0208928671310397;0;0
"czego";0;0;0;0,0302427137476929;0;0,0172136200890956;0;0,0153762112031809;0;0;0;0;0;0;0;0;0;0;0;0
"czekaæ";0;0;0;0;0;0;0;0;0,0129102150668217;0;0;0,0275071919011679;0;0;0;0;0;0;0;0,0153762112031809
"czêœæ";0;0;0;0;0;0,0292066427029857;0;0,0130445398589178;0;0;0;0;0;0;0,0510313867008211;0;0;0,0354492838914101;0;0
"czterech";0;0;0;0;0;0;0;0;0,0156694721456951;0;0;0;0;0;0;0,0153792967355896;0;0;0;0
"cztery";0;0;0;0;0;0;0;0;0;0,0214317941605636;0;0,0166931060044591;0;0;0;0;0;0;0;0
"czwarta";0;0;0;0;0;0;0;0;0;0;0;0;0,0247905081708012;0;0,0182523521697108;0;0;0;0;0
"czym";0;0,0102779029240604;0,0106562306390565;0;0;0,02184862382599;0;0,00975823367509105;0;0;0,0107886061749454;0;0;0;0;0,0160830147607982;0;0;0;0
"czyniæ";0;0;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0,0201328975447719;0;0;0;0;0;0
"czynnoœæ";0;0;0;0;0;0;0;0;0;0;0;0,0333862120089182;0,0247905081708012;0;0;0;0;0;0;0
"czytanie";0;0,0196563792596885;0;0;0;0;0;0;0;0,0214317941605636;0;0;0;0;0;0;0;0;0;0
"dany";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0140722914841658;0,0127578466752053;0,01074966710596;0,0402646490442895;0;0;0
"dark";0;0,097170376124244;0;0,0151213568738464;0;0;0;0;0;0,0353156850860156;0;0;0;0;0;0;0;0;0;0
"darmowy";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0201328975447719;0;0,0153792967355896;0;0;0;0
"dawaæ";0;0;0;0;0;0;0,0171976791501605;0,00975823367509105;0;0;0,0107886061749454;0;0,0129624298072105;0,0105270642070679;0;0;0;0,0132592793447802;0;0
"dawny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0182523521697108;0;0;0;0;0,0186625173870077
"days";0;0;0,0815197078499966;0;0;0;0;0;0;0;0;0;0;0;0;0,0153792967355896;0;0;0;0
"deweloper";0;0;0;0;0;0;0;0;0;0,0214317941605636;0;0;0;0;0;0;0;0,0253582297319646;0;0
"dlatego";0;0;0,0203799269624992;0;0;0;0;0;0,0313389442913902;0;0;0;0;0;0;0;0;0;0;0
"d³ugi";0;0;0,0167911999642099;0;0;0;0;0;0;0;0,033999572598338;0;0;0,016587670267674;0;0;0;0;0;0
"dobre";0;0;0;0,0183531938944053;0;0;0;0;0;0;0;0;0;0;0,0182523521697108;0;0;0;0;0
"dobry";0;0;0;0;0;0;0;0;0;0;0,0206330937570644;0,0333862120089182;0;0;0;0;0;0;0;0
"dobrze";0;0;0,0142449576373458;0;0;0;0,0229893870780927;0,0130445398589178;0;0;0,0144219136328408;0;0;0;0;0;0;0;0;0
"dochodziæ";0,0147641248661661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0192018965022391;0;0;0
"docieraæ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0253582297319646;0;0,0186625173870077
"dodatek";0;0;0;0;0;0;0;0,00742656233082788;0;0;0,0328429340344686;0,0531428379854216;0,0295954051094186;0,0160233708471195;0,00726334118069979;0;0,00764120286062059;0,0100910541594455;0;0
"dodatkowy";0,0266666666666667;0;0,0122699386503067;0;0;0;0;0,0112359550561798;0;0;0;0;0;0;0;0;0,0115606936416185;0;0;0,0112359550561798
"domówiæ";0;0;0;0;0;0;0;0;0;0;0,0206330937570644;0;0,0247905081708012;0;0;0;0;0;0;0
"domu";0;0;0;0;0,0228080466180517;0;0;0;0;0;0,033999572598338;0,013753595950584;0;0;0;0;0;0;0;0
"dopiero";0;0;0;0;0;0,0292066427029857;0;0;0,0109524910136196;0;0;0;0;0;0;0;0;0,0177246419457051;0;0,0130445398589178
"dopracowaæ";0;0;0;0;0;0;0;0;0;0;0,0206330937570644;0;0;0;0;0;0;0;0;0,0186625173870077
"doprowadziæ";0;0;0;0;0;0,0208926295275935;0;0;0;0;0;0,0166931060044591;0;0;0;0;0;0;0;0
"dos³owny";0;0;0;0;0;0;0;0;0,0156694721456951;0;0;0;0,0247905081708012;0;0;0;0;0;0;0
"dostawaæ";0;0,0196563792596885;0;0;0;0;0;0;0;0;0;0;0;0,0201328975447719;0;0;0;0;0;0
"dostêpny";0;0;0;0;0,0228080466180517;0;0;0;0,0258204301336435;0;0;0;0;0;0;0,0126711370100287;0;0;0;0
"doœæ";0;0;0;0;0;0;0;0,0130445398589178;0;0;0;0,0350039411289552;0;0;0;0;0;0,0177246419457051;0;0,0130445398589178
"doœwiadczenie";0;0,032390125374748;0;0,0151213568738464;0;0;0;0;0;0;0;0;0;0;0,0300765449908374;0;0;0;0;0
"dot¹d";0,0103196804217216;0;0;0;0;0;0;0;0;0;0;0,0116679803763184;0;0,0140722914841658;0,0127578466752053;0;0;0;0;0
"dowiadywaæ";0;0,0196563792596885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0186625173870077
"dowiedzieæ";0;0;0;0;0;0,041785259055187;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0186625173870077
"dowolny";0;0,0137392194963749;0,0142449576373458;0;0;0;0;0;0;0;0,0144219136328408;0;0;0;0;0;0;0;0;0,0130445398589178
"dowód";0;0;0;0;0;0;0;0;0;0,0214317941605636;0;0,0166931060044591;0;0;0;0;0;0;0;0
"droga";0;0;0;0;0;0;0;0,0153762112031809;0,0129102150668217;0;0;0;0;0;0;0;0;0;0;0,0307524224063619
"drugi";0,00771984708518314;0;0;0;0;0;0;0,0195164673501821;0,0163864678694925;0,022412459279564;0;0;0;0;0;0,0080415073803991;0;0;0;0,00975823367509105
"drzewko";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0201328975447719;0;0;0;0,0253582297319646;0;0
"dusza";0;0,016195062687374;0;0,0151213568738464;0,0228080466180517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"du¿y";0;0;0;0,0083678075846948;0;0;0,0149957739884134;0,00850883804960538;0;0,00977143982470812;0;0,0152218409329624;0,0113027848718639;0;0,00832183061994373;0;0;0;0;0
